Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValue_EUR_Millions
Harry Souttar,Leicester,26.0,D (C),66.9,66.9,10.8
Toby Collyer,Man Utd,21.0,DM (C),54.0,62.4,10.7
Ben Godfrey,Ipswich Town,27.0,D (CRL),64.4,66.8,10.5
Andrés García,Aston Villa,22.0,D (R),60.5,68.3,10.4
William Osula,Newcastle Utd.,21.0,F (C),58.5,67.1,10.3
Timo Werner,Tottenham,29.0,"F, M (L)",75.8,76.0,10.3
Arijanet Murić,Ipswich Town,26.0,GK,68.1,71.1,10.1
Chiedozie Ogbene,Ipswich Town,28.0,"F, M (R), AM (C)",62.0,63.0,9.8
Conor Chaplin,Ipswich Town,28.0,"M, AM (C)",63.5,64.7,9.8
Jack Hinshelwood,Brighton,20.0,"D (R), DM (C)",68.5,84.7,9.2
Flynn Downes,Southampton,26.0,"DM, M (C)",64.6,68.0,9.2
Dan Burn,Newcastle Utd.,32.0,D (CL),77.0,77.0,9.1
Juan Larios,Southampton,21.0,D (L),51.4,64.9,9.1
Matz Sels,Nottingham,33.0,GK,72.7,73.4,9.1
Vítězslav Jaroš,Liverpool,23.0,GK,50.3,59.7,8.9
Oliver Scarles,West Ham United,19.0,"D, M (L)",60.9,70.7,8.7
José Sá,Wolverhampton,32.0,GK,69.9,69.9,8.5
Yunus Konak,Brentford,19.0,"DM, M (C)",55.5,71.1,8.4
Nélson Semedo,Wolverhampton,31.0,"D, M (R)",72.4,72.4,8.4
Will Smallbone,Southampton,25.0,"M, AM (C)",63.2,66.8,8.4
Rodrigo Muniz,Fulham,24.0,F (C),66.7,71.6,8.2
Adama Traoré,Fulham,29.0,"F, M (R)",68.7,68.7,8.0
Tyler Morton,Liverpool,22.0,"DM, M (C)",59.8,67.9,7.9
Matt Targett,Newcastle Utd.,29.0,D (L),66.0,66.0,7.9
Sam Johnstone,Wolverhampton,32.0,GK,60.6,61.6,7.9
Jorge Cuenca,Fulham,25.0,D (CL),64.3,67.0,7.8
Luke Thomas,Leicester,23.0,D (L),63.6,69.2,7.8
Chris Wood,Nottingham,33.0,F (C),73.1,73.1,7.8
George Hirst,Ipswich Town,26.0,F (C),62.4,63.6,7.7
Ethan Pinnock,Brentford,31.0,D (C),70.5,70.5,7.6
Daniel Jebbison,B'mouth,21.0,F (C),58.8,67.6,7.5
Kieran Tierney,Arsenal,27.0,D (L),72.9,72.9,7.4
Lewis Dunk,Brighton,33.0,D (C),69.6,71.0,7.4
Ross Barkley,Aston Villa,31.0,M (C),68.4,68.4,7.3
Solly March,Brighton,30.0,"M, AM (R)",62.4,62.4,7.3
Callum Wilson,Newcastle Utd.,33.0,F (C),63.5,63.5,7.3
Matt Turner,C. Palace,30.0,GK,54.1,54.1,7.0
Justin Devenny,C. Palace,21.0,M (C),56.1,67.0,6.9
Joe Aribo,Southampton,28.0,M (C),63.3,64.1,6.9
Harrison Reed,Fulham,30.0,"M, DM (C)",69.0,69.0,6.7
Ayden Heaven,Man Utd,19.0,D (CL),50.3,71.0,6.7
Andy Irving,West Ham United,24.0,M (C),52.9,55.1,6.5
Joachim Kayi Sanda,Southampton,18.0,D (CR),46.4,70.3,6.3
Saša Kalajdžić,Wolverhampton,27.0,F (C),66.1,66.8,6.3
Nathan Broadhead,Ipswich Town,27.0,M (L),63.3,63.3,6.1
Nathan Wood,Southampton,22.0,D (CL),57.2,65.0,6.1
Lamare Bogarde,Aston Villa,21.0,M (C),54.6,66.3,6.0
Danny Welbeck,Brighton,34.0,F (C),72.1,72.1,6.0
Abdoulaye Doucouré,Everton,32.0,"M, AM (C)",69.1,69.1,5.8
Stefan Ortega,Man City,32.0,GK,61.7,61.7,5.8
Tyrone Mings,Aston Villa,32.0,D (C),69.5,69.5,5.8
Joël Veltman,Brighton,33.0,D (R),74.8,74.8,5.7
Ben Davies,Tottenham,32.0,D (CL),66.4,66.4,5.6
Sergio Reguilón,Tottenham,28.0,"D, M (L)",68.2,68.6,5.6
Joshua Dasilva,Brentford,26.0,M (C),66.9,70.3,5.4
Jorginho,Arsenal,33.0,"DM, M (C)",74.9,74.9,5.3
Kieran Trippier,Newcastle Utd.,34.0,D (R),69.5,69.5,5.1
Raúl Jiménez,Fulham,34.0,F (C),68.8,68.8,5.1
Idrissa Gueye,Everton,35.0,"DM, M (C)",71.6,71.6,5.0
Dane Scarlett,Tottenham,21.0,F (C),51.7,63.9,4.9
Pablo Sarabia,Wolverhampton,32.0,"F (R), AM (C)",67.3,67.3,4.9
Vladimír Coufal,West Ham United,32.0,D (R),66.7,66.7,4.8
Danny Ings,West Ham United,32.0,F (C),59.6,59.6,4.6
Odysseas Vlachodimos,Newcastle Utd.,31.0,GK,65.4,66.4,4.6
Matai Akinmboni,B'mouth,18.0,D (C),45.1,67.2,4.6
Carlos Miguel,Nottingham,26.0,GK,49.6,50.2,4.4
Carl Rushworth,Brighton,23.0,GK,59.6,64.7,4.4
Joshua King,Fulham,18.0,M (C),48.7,68.3,4.4
Eric da Silva Moreira,Nottingham,19.0,"M, AM (R)",45.7,67.7,4.3
Axel Tuanzebe,Ipswich Town,27.0,D (CR),62.4,63.0,4.2
Christian Eriksen,Man Utd,33.0,"M, DM (C)",66.9,66.9,4.2
Matt Doherty,Wolverhampton,33.0,D (R),68.1,68.1,4.2
Jordan Ayew,Leicester,33.0,F (CR),65.5,66.4,4.2
Ricardo Pereira,Leicester,31.0,D (R),60.8,60.8,4.1
Welington,Southampton,24.0,D (L),61.1,67.3,4.0
Ryan Manning,Southampton,28.0,"D, M (L)",62.2,62.4,3.9
Jack Taylor,Ipswich Town,26.0,"DM, M (C)",57.2,58.9,3.8
Ross Stewart,Southampton,28.0,F (C),49.9,49.9,2.8
Bobby Reid,Leicester,32.0,"F (R), M (RL)",64.0,64.0,2.7
Jamaal Lascelles,Newcastle Utd.,31.0,D (C),65.0,66.3,2.7
Hákon Rafn Valdimarsson,Brentford,23.0,GK,63.0,67.9,2.4
Carlos Vinícius,Fulham,30.0,F (C),63.3,63.3,2.4
Michael Keane,Everton,32.0,D (C),57.4,57.4,2.3
Ryan Fraser,Southampton,31.0,"F, AM (L)",59.0,59.0,2.3
Michael Golding,Leicester,18.0,M (C),48.8,67.3,2.3
Harry Toffolo,Nottingham,29.0,D (L),62.1,62.1,2.2
Conor Coady,Leicester,32.0,D (C),61.3,61.3,2.2
Daniel Iversen,Leicester,27.0,GK,63.2,63.4,2.1
James Hill,B'mouth,23.0,D (CR),54.7,61.8,2.1
Wes Burns,Ipswich Town,30.0,M (R),64.4,64.4,2.1
Charlie Taylor,Southampton,31.0,D (CL),63.6,64.4,2.1
Jannik Vestergaard,Leicester,32.0,D (C),61.7,61.7,2.0
Emil Krafth,Newcastle Utd.,30.0,D (CR),58.8,58.8,2.0
Jamal Lewis,Newcastle Utd.,27.0,D (L),59.8,60.2,2.0
Luke Woolfenden,Ipswich Town,26.0,D (C),65.0,68.3,2.0
James Bree,Southampton,27.0,D (CR),59.9,60.8,1.9
Woyo Coulibaly,Leicester,25.0,D (RL),59.6,63.6,1.9
Caleb Kporha,C. Palace,18.0,D (R),48.3,62.0,1.7
Cameron Burgess,Ipswich Town,29.0,D (C),61.7,62.8,1.7
Alex Palmer,Ipswich Town,28.0,GK,64.4,67.5,1.6
Neto,Arsenal,35.0,GK,61.3,62.7,1.6
Kortney Hause,Aston Villa,29.0,D (CL),62.4,63.6,1.5
Daniel Bentley,Wolverhampton,31.0,GK,53.7,54.2,1.5
Adam Smith,B'mouth,34.0,D (R),68.5,68.7,1.5
Craig Dawson,Wolverhampton,35.0,D (C),64.4,64.4,1.5
Jason Steele,Brighton,34.0,GK,51.5,52.0,1.5
Kasey McAteer,Leicester,23.0,"F, M (R)",55.1,61.3,1.5
Tom Cairney,Fulham,34.0,"M, DM (C)",61.7,61.7,1.5
Malcolm Ebiowei,C. Palace,21.0,"F, M (R)",52.3,62.2,1.5
Christian Walton,Ipswich Town,29.0,GK,56.6,56.7,1.4
Jack Stephens,Southampton,31.0,D (CL),60.6,61.0,1.4
Willy Boly,Nottingham,34.0,D (CR),57.6,57.6,1.4
Omari Kellyman,Chelsea,19.0,F (C),45.0,66.2,1.4
Ashley Young,Everton,39.0,D (RL),72.5,72.5,1.3
Sam Morsy,Ipswich Town,33.0,"M, DM (C)",65.0,65.6,1.3
Willian,Fulham,36.0,"F, M, AM (L)",67.4,67.4,1.3
Wesley Foderingham,West Ham United,34.0,GK,59.7,60.9,1.3
Martin Dúbravka,Newcastle Utd.,36.0,GK,62.2,62.2,1.3
Conor Townsend,Ipswich Town,32.0,D (L),58.7,58.7,1.2
Will Dennis,B'mouth,24.0,GK,58.2,64.3,1.2
Cieran Slicker,Ipswich Town,22.0,GK,54.7,61.6,1.2
James Milner,Brighton,39.0,"M (C), D (R)",66.2,66.2,1.2
Jonny Evans,Man Utd,37.0,D (C),60.4,60.4,1.1
Nathaniel Clyne,C. Palace,34.0,D (R),62.0,62.8,1.0
Steven Benda,Fulham,26.0,GK,50.4,51.8,1.0
Kim Ji-Soo,Brentford,20.0,D (C),49.1,60.8,1.0
Marcus Bettinelli,Chelsea,32.0,GK,55.5,56.3,1.0
Jamie Vardy,Leicester,38.0,F (C),67.3,69.5,1.0
Michail Antonio,West Ham United,35.0,F (C),70.2,70.2,1.0
Robin Olsen,Aston Villa,35.0,GK,46.0,46.0,0.9
Ben Mee,Brentford,35.0,D (CL),62.6,62.6,0.9
Danny Ward,Leicester,31.0,GK,50.1,50.1,0.9
Kaden Rodney,C. Palace,20.0,"DM, M (C)",59.0,71.0,0.9
Adam Lallana,Southampton,36.0,"AM, M (C)",58.4,58.4,0.9
Łukasz Fabiański,West Ham United,40.0,GK,64.4,64.4,0.9
Asmir Begović,Everton,37.0,GK,61.2,61.2,0.8
Aaron Cresswell,West Ham United,35.0,D (L),62.6,62.6,0.8
Edmond-Paris Maghoma,Brentford,24.0,M (C),52.2,56.8,0.8
Brandon Austin,Tottenham,26.0,GK,44.4,45.2,0.8
Joe Lumley,Southampton,30.0,GK,58.4,58.4,0.7
John Ruddy,Newcastle Utd.,38.0,GK,60.5,60.5,0.7
Séamus Coleman,Everton,36.0,D (R),59.8,59.8,0.7
Harry Amass,Man Utd,18.0,D (L),43.8,63.6,0.7
Jakub Stolarczyk,Leicester,24.0,GK,52.8,54.8,0.7
Fraser Forster,Tottenham,37.0,GK,52.4,52.4,0.7
Joel Ward,C. Palace,35.0,D (R),58.1,58.1,0.7
Harvey Davies,Liverpool,21.0,GK,54.1,68.8,0.6
Alex McCarthy,Southampton,35.0,GK,52.2,52.2,0.6
Tom King,Wolverhampton,30.0,GK,51.1,51.1,0.6
Lucas Bergström,Chelsea,22.0,GK,52.4,60.6,0.6
João Virgínia,Everton,25.0,GK,51.7,54.4,0.6
Tom McGill,Brighton,25.0,GK,49.8,53.1,0.5
Massimo Luongo,Ipswich Town,32.0,"M, DM (C)",56.7,56.7,0.5
Alfie Whiteman,Tottenham,26.0,GK,49.1,53.1,0.5
Remi Matthews,C. Palace,31.0,GK,47.7,47.8,0.4
Mark Gillespie,Newcastle Utd.,33.0,GK,43.7,44.7,0.4
Wayne Hennessey,Nottingham,38.0,GK,45.4,45.4,0.4
Scott Carson,Man City,39.0,GK,44.5,44.9,0.4
Tom Heaton,Man Utd,39.0,GK,46.8,46.8,0.4
Ranel Young,Liverpool,19.0,F (C),43.6,60.6,0.2
Rento Takaoka,Southampton,18.0,F (C),32.6,32.6,0.2
Richard Olise,Chelsea,20.0,D (R),47.0,57.5,0.09
